pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,type,Teq
Kepler-116 c,0.1153,,,0.0,1.173,0.768,-0.136,0.0,6484.0,166.0,-218.0,0.0,hotter,912.1897048786931
NGTS-20 b,0.313,0.013,-0.013,0.0,1.78,0.05,-0.05,0.0,5980.0,80.0,-80.0,0.0,hot,628.9944656113169
HR 858 c,0.0687,0.00092,-0.00092,0.0,1.258,0.019,-0.019,0.0,6354.0,70.0,-70.0,0.0,hotter,1199.2700013749147
Kepler-1675 b,0.313,,,0.0,0.97,0.4,-0.4,0.0,6000.0,99.0,,0.0,hot,465.87859448329544
Kepler-394 b,0.083,,,0.0,1.132,0.58,-0.58,0.0,6402.0,200.0,-200.0,0.0,hotter,1042.8159013484315
Kepler-173 b,0.0476,,,0.0,0.935,0.373,-0.148,0.0,6032.0,176.0,-158.0,0.0,hotter,1179.1565554312972
Kepler-79 b,0.11929,0.00111,-0.00111,0.0,1.316,0.038,-0.037,0.0,6389.0,60.0,-60.0,0.0,hotter,935.9801130701617
Kepler-1468 b,0.0805,,,0.0,0.976,0.404,-0.095,0.0,5973.0,161.0,-193.0,0.0,hotter,917.3335791561204
K2-34 b,0.0442,0.002,-0.002,0.0,1.42,0.06,-0.05,0.0,6168.0,46.0,-76.0,0.0,hotter,1542.0029706807184
Kepler-136 c,0.134,,,0.0,1.21,0.11,-0.11,0.0,6158.0,58.0,-58.0,0.0,hotter,816.183439034651
TOI-1859 b,0.337,0.044,-0.036,0.0,1.36,0.1,-0.12,0.0,6341.0,68.0,-70.0,0.0,hot,561.8495854497525
Kepler-677 b,0.069,,,0.0,1.04,0.47,-0.47,0.0,6014.0,102.0,-102.0,0.0,hotter,1029.8248229479143
Kepler-132 b,0.0641,,,0.0,1.045,0.186,-0.116,0.0,5921.0,114.0,-117.0,0.0,hotter,1054.4645878304495
Kepler-1833 b,0.0771,,,0.0,1.446,0.248,-0.203,0.0,6164.0,110.0,-135.0,0.0,hotter,1177.4091196511579
WASP-38 b,0.07522,0.00074,-0.00075,0.0,1.331,0.03,,0.0,6150.0,80.0,,0.0,hotter,1141.0516065989852
Kepler-485 b,0.0443,,,0.0,1.029,0.465,-0.093,0.0,6109.0,162.0,-210.0,0.0,hotter,1298.6249938762926
HD 13908 b,0.154,0.0025,-0.0025,0.0,1.67,0.1,-0.1,0.0,6255.0,66.0,-66.0,0.0,hotter,908.5168720894037
Kepler-529 d,0.2134,,,0.0,1.189,0.197,-0.178,0.0,6078.0,121.0,-133.0,0.0,hot,632.793811606181
Kepler-1193 b,0.0397,,,0.0,1.047,0.456,-0.11,0.0,6072.0,141.0,-181.0,0.0,hotter,1375.3640178230146
Kepler-1714 b,0.1055,,,0.0,2.114,0.042,-0.042,0.0,6174.0,92.0,-92.0,0.0,hotter,1218.9915486678979
K2-290 b,0.0923,0.0066,-0.0066,0.0,1.511,0.075,-0.072,0.0,6302.0,120.0,-120.0,0.0,hotter,1124.6505198254918
Kepler-146 b,0.1931,,,0.0,1.06,0.426,-0.131,0.0,6197.0,161.0,-195.0,0.0,hot,640.3996703921523
Kepler-1857 b,0.0807,,,0.0,1.005,0.347,-0.155,0.0,6074.0,171.0,-173.0,0.0,hotter,945.428867746735
Kepler-175 c,0.209,,,0.0,0.95,0.38,-0.38,0.0,6029.0,109.0,-109.0,0.0,hot,566.9460727624961
Kepler-1875 b,0.2039,,,0.0,0.851,0.344,-0.06,0.0,6150.0,166.0,-181.0,0.0,hot,554.164997003288
Kepler-1472 b,0.2335,,,0.0,1.164,0.558,-0.15,0.0,6425.0,137.0,-258.0,0.0,hot,632.7235329774948
Kepler-187 c,0.095,,,0.0,1.15,0.44,-0.44,0.0,5973.0,105.0,-105.0,0.0,hotter,916.6160132973113
TOI-628 b,0.0486,0.0008,-0.00094,0.0,1.345,0.046,-0.04,0.0,6250.0,220.0,-190.0,0.0,hotter,1450.2097903210913
Kepler-625 b,0.0807,,,0.0,1.072,0.25,-0.051,0.0,6077.0,98.0,-135.0,0.0,hotter,976.9170053274576
Kepler-24 e,0.1378,,,0.0,1.088,0.401,-0.16,0.0,6038.0,164.0,-191.0,0.0,hot,748.3258633655649
Kepler-1226 b,0.135,,,0.0,1.01,0.44,-0.44,0.0,6197.0,88.0,-88.0,0.0,hot,747.6237798244687
Kepler-135 c,0.1054,,,0.0,1.209,0.891,-0.159,0.0,6388.0,141.0,-225.0,0.0,hotter,954.2574523372724
Kepler-402 c,0.0684,,,0.0,1.215,0.684,-0.17,0.0,6522.0,158.0,-206.0,0.0,hotter,1212.407712552678
Kepler-990 b,0.089,,,0.0,0.926,0.372,-0.091,0.0,5953.0,158.0,-175.0,0.0,hotter,846.9429950850175
WASP-31 b,0.04663,0.00034,-0.00034,0.0,1.252,0.033,-0.033,0.0,6300.0,100.0,-100.0,0.0,hotter,1439.8518674230093
Kepler-603 b,0.15,,,0.0,0.92,0.42,-0.42,0.0,5956.0,106.0,-106.0,0.0,hot,650.595089531742
WASP-102 b,0.041,0.001,-0.001,0.0,1.375,0.048,-0.048,0.0,5990.0,100.0,-100.0,0.0,hotter,1530.0092306021675
Kepler-686 b,0.027,,,0.0,0.96,0.46,-0.46,0.0,5973.0,107.0,-107.0,0.0,hotter,1570.9199569803432
KELT-17 b,0.04881,0.00065,-0.00061,0.0,1.645,0.06,-0.055,0.0,7454.0,49.0,-49.0,0.0,hotter,1908.6475692798494
Kepler-826 b,0.0528,,,0.0,1.257,0.197,-0.241,0.0,6060.0,120.0,-132.0,0.0,hotter,1304.1607020166655
XO-7 b,0.04421,0.00062,-0.00062,0.0,1.48,0.022,-0.022,0.0,6250.0,100.0,-100.0,0.0,hotter,1594.991692632285
Kepler-798 b,0.118,,,0.0,1.156,0.604,-0.143,0.0,6428.0,143.0,-255.0,0.0,hotter,887.4044236377662
Kepler-1218 b,0.164,,,0.0,1.22,0.52,-0.52,0.0,6282.0,91.0,-91.0,0.0,hot,755.724898954866
Kepler-616 d,0.2749,,,0.0,0.977,0.385,-0.087,0.0,6004.0,158.0,-197.0,0.0,hot,499.238883587185
Kepler-1239 b,0.0626,,,0.0,1.137,0.692,-0.126,0.0,6343.0,162.0,-270.0,0.0,hotter,1192.327566626096
Kepler-1449 b,0.1176,,,0.0,1.155,0.751,-0.128,0.0,6269.0,154.0,-230.0,0.0,hotter,866.5495656490142
Kepler-530 b,0.2186,,,0.0,1.051,0.356,-0.167,0.0,5957.0,158.0,-161.0,0.0,hot,576.1183220523742
HD 10180 e,0.2699,0.0043,-0.0043,0.0,1.109,0.036,-0.036,0.0,5911.0,19.0,-19.0,0.0,hot,528.485526597405
TOI-6651 b,0.0633,0.00078,-0.00072,0.0,1.721,0.065,-0.062,0.0,5940.0,110.0,-110.0,0.0,hotter,1366.101074612757
Kepler-1375 b,0.0445,,,0.0,1.207,0.749,-0.181,0.0,6277.0,158.0,-206.0,0.0,hotter,1441.8947682217179
Kepler-1569 b,0.064,,,0.0,1.087,0.545,-0.123,0.0,6185.0,155.0,-197.0,0.0,hotter,1124.2743354308743
Kepler-1677 b,0.1634,,,0.0,1.145,0.67,-0.131,0.0,6215.0,153.0,-202.0,0.0,hot,725.647424268952
Kepler-279 c,0.2191,,,0.0,1.067,0.426,-0.102,0.0,6781.0,157.0,-230.0,0.0,hot,660.0283242750787
Kepler-300 c,0.2293,,,0.0,0.881,0.339,-0.068,0.0,5968.0,157.0,-162.0,0.0,hot,515.9677402096761
Kepler-1212 b,0.1082,,,0.0,0.938,0.355,-0.087,0.0,6119.0,158.0,-192.0,0.0,hot,794.6502966036056
Kepler-1201 b,0.1183,,,0.0,1.005,0.373,-0.123,0.0,6136.0,170.0,-196.0,0.0,hot,788.8307236854813
Kepler-1952 b,0.1724,,,0.0,1.305,0.186,-0.205,0.0,5973.0,116.0,-115.0,0.0,hot,724.8313145015258
WASP-168 b,0.0519,0.0008,-0.0008,0.0,1.12,0.06,-0.06,0.0,6000.0,100.0,-100.0,0.0,hotter,1229.3750378148802
Kepler-1473 b,0.116,,,0.0,1.04,0.193,-0.084,0.0,5929.0,111.0,-124.0,0.0,hot,783.0273529110568
Kepler-1163 b,0.0679,,,0.0,1.112,0.533,-0.12,0.0,6444.0,141.0,-204.0,0.0,hotter,1150.2198178568601
WASP-28 b,0.0445,0.0004,-0.0004,0.0,1.123,0.052,-0.052,0.0,6084.0,45.0,-45.0,0.0,hotter,1348.0527473606928
HAT-P-9 b,0.0529,0.0014,-0.0014,0.0,1.339,0.08,-0.08,0.0,6350.0,150.0,-150.0,0.0,hotter,1409.107043027799
Kepler-1676 b,0.1931,,,0.0,0.996,0.391,-0.092,0.0,6122.0,148.0,-188.0,0.0,hot,613.252977382426
WASP-159 b,0.0538,0.0015,-0.0015,0.0,2.11,0.1,-0.1,0.0,6120.0,140.0,-140.0,0.0,hotter,1690.4772082300397
TOI-1601 b,0.06864,0.00079,-0.00075,0.0,2.186,0.074,-0.063,0.0,5948.0,87.0,-89.0,0.0,hotter,1480.5231721541077
Kepler-385 d,0.2967,,,0.0,1.153,0.671,-0.144,0.0,6308.0,178.0,-246.0,0.0,hot,548.4731513011391
Kepler-342 d,0.2412,,,0.0,1.178,0.557,-0.147,0.0,6475.0,144.0,-224.0,0.0,hot,631.1485285903822
Kepler-748 b,0.0745,,,0.0,0.961,0.297,-0.099,0.0,5922.0,184.0,-205.0,0.0,hotter,938.1229668040004
TOI-2842 b,0.0475,0.001,-0.0011,0.0,1.265,0.04,-0.037,0.0,5910.0,100.0,-100.0,0.0,hotter,1345.2213353485145
Kepler-349 c,0.1041,,,0.0,0.911,0.317,-0.074,0.0,5941.0,156.0,-175.0,0.0,hot,775.1775452871486
Kepler-1717 b,0.2101,,,0.0,1.377,0.857,-0.216,0.0,6823.0,176.0,-233.0,0.0,hot,770.4369850216054
TOI-2641 b,0.0607,0.0042,-0.0043,0.0,1.336,0.055,-0.055,0.0,6100.0,100.0,-100.0,0.0,hotter,1262.2533336973627
WASP-117 b,0.09464,0.00082,-0.00082,0.0,1.17,0.067,-0.059,0.0,6040.0,90.0,-90.0,0.0,hotter,936.6995498300765
Kepler-1376 b,0.0598,,,0.0,0.955,0.394,-0.091,0.0,5914.0,168.0,-195.0,0.0,hotter,1042.4139672088554
Kepler-134 c,0.0905,,,0.0,1.054,0.164,-0.12,0.0,5923.0,107.0,-131.0,0.0,hotter,891.5496960961019
Kepler-342 c,0.1837,,,0.0,1.178,0.557,-0.147,0.0,6475.0,144.0,-224.0,0.0,hot,723.2120400198208
TOI-2580 b,0.048,0.003,-0.003,0.0,1.81,0.06,-0.06,0.0,6120.0,30.0,-30.0,0.0,hotter,1657.5929796663152
Kepler-1274 b,0.0799,,,0.0,2.134,0.134,-0.134,0.0,6131.0,75.0,-75.0,0.0,hotter,1397.5358000931817
Kepler-1453 b,0.262,,,0.0,0.965,0.315,-0.087,0.0,5936.0,156.0,-192.0,0.0,hot,502.47529184674124
Kepler-791 b,0.122,,,0.0,1.06,0.42,-0.42,0.0,6321.0,109.0,-109.0,0.0,hotter,821.8009054953513
Kepler-758 b,0.1114,,,0.0,1.351,0.677,-0.244,0.0,6692.0,154.0,-280.0,0.0,hotter,1027.8951554727312
HATS-67 b,0.03032,0.00015,-0.00015,0.0,1.441,0.026,-0.026,0.0,6594.0,33.0,-33.0,0.0,hotter,2005.0450852127815
HD 80653 b,0.01661,0.00019,-0.00019,0.0,1.22,0.01,-0.01,0.0,5959.0,61.0,-61.0,0.0,hotter,2252.5596085823477
Kepler-286 d,0.064,,,0.0,0.908,0.39,-0.074,0.0,5970.0,163.0,-182.0,0.0,hotter,991.8250577332694
Kepler-65 d,0.0858,,,0.0,1.424,0.024,-0.024,0.0,6169.0,50.0,-50.0,0.0,hotter,1108.495485671976
K2-98 b,0.0986,0.002,-0.0029,0.0,1.518,0.082,-0.076,0.0,6260.0,170.0,-160.0,0.0,hotter,1083.3768953088504
Kepler-173 c,0.0725,,,0.0,0.935,0.373,-0.148,0.0,6032.0,176.0,-158.0,0.0,hotter,955.4455517679933
Kepler-1155 b,0.2006,,,0.0,1.094,0.395,-0.168,0.0,5912.0,162.0,-177.0,0.0,hot,608.9553213059588
Kepler-1920 b,0.2048,,,0.0,1.167,0.86,-0.13,0.0,6299.0,146.0,-236.0,0.0,hot,663.2081706712557
Kepler-1949 b,0.0352,,,0.0,1.454,0.251,-0.276,0.0,6028.0,81.0,-81.0,0.0,hotter,1708.8027056462306
TOI-892 b,0.092,0.005,-0.005,0.0,1.39,0.02,-0.02,0.0,6261.0,80.0,-80.0,0.0,hotter,1073.408421043177
WASP-176 b,0.0535,0.001,-0.0019,0.0,1.925,0.047,-0.044,0.0,5941.0,77.0,-79.0,0.0,hotter,1571.830950567511
Kepler-1279 b,0.1785,0.00167,-0.00167,0.0,1.907,0.062,-0.059,0.0,6174.0,60.0,-60.0,0.0,hotter,890.0833338537557
Kepler-1327 b,0.1186,,,0.0,1.116,0.497,-0.152,0.0,6143.0,157.0,-188.0,0.0,hotter,831.147448377732
K2-107 b,0.048,0.005,-0.005,0.0,1.78,0.16,-0.16,0.0,6030.0,120.0,-120.0,0.0,hotter,1619.625114337906
Kepler-1216 b,0.0543,,,0.0,1.012,0.446,-0.091,0.0,6063.0,149.0,-213.0,0.0,hotter,1154.4781494065087
Kepler-922 b,0.0186,,,0.0,0.989,0.387,-0.108,0.0,5902.0,155.0,-168.0,0.0,hotter,1898.2293613800307
TOI-3894 b,0.05539,0.00079,-0.0006,0.0,1.502,0.055,-0.052,0.0,6000.0,110.0,-110.0,0.0,hotter,1378.0924137216966
K2-167 b,0.0999,0.0017,-0.0018,0.0,1.46,0.051,-0.051,0.0,6141.0,92.0,-93.0,0.0,hotter,1035.47731518923
Kepler-1960 b,0.0351,,,0.0,1.035,0.491,-0.09,0.0,6363.0,169.0,-217.0,0.0,hotter,1524.0048451602304
Kepler-1837 b,0.065,,,0.0,0.961,0.399,-0.086,0.0,5966.0,165.0,-194.0,0.0,hotter,1011.8032553585196
Kepler-507 b,0.0475,,,0.0,1.213,0.228,-0.144,0.0,6036.0,98.0,-130.0,0.0,hotter,1345.36657782942
K2-12 b,0.0847,0.0043,-0.0043,0.0,1.31,0.34,-0.34,0.0,6177.0,308.0,-308.0,0.0,hotter,1071.4683619488362
Kepler-1592 b,0.04,,,0.0,0.829,0.32,-0.06,0.0,6020.0,161.0,-168.0,0.0,hotter,1208.7919766032505
Kepler-758 c,0.0597,,,0.0,1.351,0.677,-0.244,0.0,6692.0,154.0,-280.0,0.0,hotter,1404.1200765281733
Kepler-1072 b,0.028,,,0.0,1.07,0.44,-0.44,0.0,6292.0,123.0,-123.0,0.0,hotter,1715.5737597722552
Kepler-1478 b,0.1681,,,0.0,0.835,0.356,-0.058,0.0,6081.0,168.0,-183.0,0.0,hot,597.7811170649677
Kepler-1180 b,0.1246,,,0.0,0.973,0.351,-0.124,0.0,6205.0,182.0,-199.0,0.0,hot,764.7984386254993
Kepler-127 b,0.1242,,,0.0,1.352,0.036,-0.03,0.0,6075.0,122.0,-97.0,0.0,hotter,884.0597902628983
TOI-1670 c,0.249,0.005,-0.005,0.0,1.316,0.019,-0.019,0.0,6170.0,61.0,-61.0,0.0,hot,625.635297355566
Kepler-127 d,0.2799,,,0.0,1.359,0.035,-0.035,0.0,6106.0,106.0,-106.0,0.0,hot,593.4346311739872
Kepler-402 d,0.087,,,0.0,1.264,0.244,-0.244,0.0,6090.0,120.0,-120.0,0.0,hotter,1023.8563098732789
Kepler-1751 b,0.0712,,,0.0,0.967,0.374,-0.101,0.0,6052.0,156.0,-178.0,0.0,hotter,983.7391771649338
Kepler-21 b,0.0434,0.00021,-0.00032,0.0,1.902,0.018,-0.012,0.0,6305.0,50.0,-50.0,0.0,hotter,1840.9978880048102
Kepler-1598 b,0.0527,,,0.0,1.09,0.528,-0.128,0.0,6164.0,156.0,-203.0,0.0,hotter,1236.4551825718884
