,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
808,HD 37124 c,1.687,0.011,-0.011,0.0,0.949168,0.017173,-0.017173,0.0,5698.64,48.74,-48.74,0.0
809,HD 37124 d,2.671,0.022,-0.022,0.0,0.949168,0.017173,-0.017173,0.0,5698.64,48.74,-48.74,0.0
810,HD 37605 b,0.263,0.006,-0.006,0.0,0.982419,0.047829,-0.043192,0.0,5329.0,108.12,-97.58,0.0
811,HD 37605 c,3.74,0.21,-0.21,0.0,0.91,0.05,-0.05,0.0,5329.0,,,0.0
812,HD 3765 b,2.108,0.032,-0.033,0.0,0.83061,0.015861,-0.015861,0.0,5049.8,64.88,-64.88,0.0
813,HD 38283 b,1.02,0.02,-0.02,0.0,1.49,0.01,-0.01,0.0,5981.0,12.0,-12.0,0.0
814,HD 38529 b,0.1313,0.0076,-0.0076,0.0,2.83515,0.146432,-0.099041,0.0,5541.0,95.29,-108.56,0.0
815,HD 38529 c,3.64,0.16,-0.16,0.0,2.56,,,0.0,5541.0,,,0.0
816,HD 38801 b,1.623,0.047,-0.049,0.0,2.029,0.286,-0.286,0.0,5338.0,59.0,-59.0,0.0
817,HD 39091 b,3.28,0.04,-0.04,0.0,1.17,0.02,-0.02,0.0,5998.0,62.0,-62.0,0.0
818,HD 40307 b,0.047524,3e-06,-3e-06,0.0,0.716684,0.059818,-0.047911,0.0,4867.44,139.15,-135.46,0.0
819,HD 40307 c,0.08113,2e-05,-2e-05,0.0,0.716684,0.059818,-0.047911,0.0,4867.44,139.15,-135.46,0.0
820,HD 40307 d,0.13407,3e-05,-3e-05,0.0,0.716684,0.059818,-0.047911,0.0,4867.44,139.15,-135.46,0.0
821,HD 40307 f,0.2491,0.0006,-0.0006,0.0,0.716684,0.059818,-0.047911,0.0,4867.44,139.15,-135.46,0.0
822,HD 40307 g,0.6069,0.00096,-0.00096,0.0,0.716684,0.059818,-0.047911,0.0,4867.44,139.15,-135.46,0.0
823,HD 40956 b,1.4,0.1,-0.1,0.0,8.56,0.33,-0.33,0.0,4869.0,28.0,-28.0,0.0
824,HD 40979 b,0.855,0.049,-0.049,0.0,1.2352,0.054456,-0.043328,0.0,6139.0,104.2,-115.17,0.0
825,HD 42012 b,1.67,0.05,-0.06,0.0,0.82,0.08,-0.08,0.0,5405.0,45.0,-45.0,0.0
826,HD 4203 b,1.177,0.021,-0.022,0.0,1.497489,0.034112,-0.034112,0.0,5625.06,77.61,-77.61,0.0
827,HD 4203 c,6.95,1.93,-0.56,0.0,1.49795,0.063776,-0.076626,0.0,5582.0,133.18,-87.0,0.0
828,HD 4208 b,1.662,0.015,-0.015,0.0,0.846,0.028,-0.028,0.0,5717.0,33.0,-33.0,0.0
829,HD 42618 b,0.554,0.011,-0.011,0.0,0.999,0.087,-0.087,0.0,5727.0,60.0,-60.0,0.0
830,HD 42813 b,0.109,0.002,-0.002,0.0,0.97,0.03,-0.03,0.0,5240.0,110.0,-110.0,0.0
831,HD 4308 b,0.12,0.0,0.0,0.0,1.02,0.01,-0.01,0.0,5686.0,16.0,-16.0,0.0
832,HD 4313 b,1.13,0.02,-0.02,0.0,4.91,0.24,-0.24,0.0,5005.0,10.0,-10.0,0.0
833,HD 43197 b,0.92,0.01,-0.02,0.0,1.0,0.01,-0.01,0.0,5508.0,46.0,-46.0,0.0
834,HD 43691 b,0.238,0.015,-0.015,0.0,1.6,0.11,-0.11,0.0,6093.0,,,0.0
835,HD 44219 b,1.19,0.02,-0.02,0.0,1.32,0.07,-0.07,0.0,5752.0,16.0,-16.0,0.0
836,HD 45184 b,0.0641,0.0011,-0.0011,0.0,1.075139,0.024903,-0.024903,0.0,5820.13,94.85,-94.85,0.0
837,HD 45184 c,0.1095,0.0018,-0.0018,0.0,1.075139,0.024903,-0.024903,0.0,5820.13,94.85,-94.85,0.0
838,HD 45350 b,1.92,0.07,-0.07,0.0,1.26442,0.096618,-0.051634,0.0,5566.0,158.59,-132.98,0.0
839,HD 45364 b,0.6793,0.0016,-0.0015,0.0,0.89,0.01,-0.02,0.0,5466.0,59.0,-32.0,0.0
840,HD 45364 c,0.902,0.001,-0.001,0.0,0.89,0.01,-0.02,0.0,5466.0,59.0,-32.0,0.0
841,HD 45652 b,0.23,0.0,0.0,0.0,0.96,0.02,-0.02,0.0,5232.0,48.0,-48.0,0.0
842,HD 46375 b,0.03998,0.00059,-0.0006,0.0,0.914196,0.019199,-0.019199,0.0,5264.38,74.1,-74.1,0.0
843,HD 47186 b,0.05,0.0,0.0,0.0,1.08,0.01,-0.01,0.0,5657.0,9.0,-9.0,0.0
844,HD 4732 b,1.129,0.001,-0.004,0.0,5.03,0.12,-0.13,0.0,4898.0,,,0.0
845,HD 4732 c,4.725,0.057,-0.057,0.0,5.03,0.12,-0.13,0.0,4898.0,,,0.0
846,HD 47366 b,1.28,0.05,-0.06,0.0,6.2,0.6,-0.6,0.0,4914.0,100.0,-100.0,0.0
847,HD 47366 c,1.97,0.08,-0.09,0.0,6.2,0.6,-0.6,0.0,4914.0,100.0,-100.0,0.0
848,HD 47536 b,1.93,0.32,-0.32,0.0,23.47,1.97,-1.97,0.0,4380.0,,,0.0
849,HD 4760 b,1.14,0.08,-0.08,0.0,42.4,9.2,-9.2,0.0,4076.0,15.0,-15.0,0.0
850,HD 48265 b,1.81,0.07,-0.07,0.0,2.05,0.05,-0.05,0.0,5650.0,100.0,-100.0,0.0
851,HD 48948 b,0.0652,0.0005,-0.0005,0.0,0.679,0.004,-0.004,0.0,4593.0,60.0,-60.0,0.0
852,HD 48948 c,0.1951,0.0016,-0.0016,0.0,0.679,0.004,-0.004,0.0,4593.0,60.0,-60.0,0.0
853,HD 48948 d,0.4894,0.0042,-0.0042,0.0,0.679,0.004,-0.004,0.0,4593.0,60.0,-60.0,0.0
854,HD 4917 b,1.167,0.065,-0.065,0.0,5.01,,,0.0,4802.0,,,0.0
855,HD 49674 b,0.058,0.0033,-0.0033,0.0,1.04257,0.032428,-0.051643,0.0,5583.0,112.44,-81.17,0.0
856,HD 50499 b,3.846,0.039,-0.039,0.0,1.432954,0.033662,-0.033662,0.0,5978.1,103.67,-103.67,0.0
857,HD 50499 c,9.02,1.73,-0.33,0.0,1.42,0.02,-0.02,0.0,6099.0,43.0,-43.0,0.0
858,HD 50554 b,2.353,0.0452,-0.0452,0.0,1.02,0.02,-0.02,0.0,5987.0,70.0,-70.0,0.0
859,HD 52265 b,0.5,0.01,-0.01,0.0,1.32,0.02,-0.02,0.0,6117.0,10.0,-10.0,0.0
860,HD 5278 b,0.1202,0.0013,-0.0013,0.0,1.194,0.017,-0.016,0.0,6203.0,64.0,-64.0,0.0
861,HD 5278 c,0.2416,0.0027,-0.0027,0.0,1.194,0.017,-0.016,0.0,6203.0,64.0,-64.0,0.0
862,HD 5319 b,1.67,0.04,-0.04,0.0,4.19,0.15,-0.15,0.0,4900.0,25.0,-25.0,0.0
863,HD 5319 c,2.071,0.013,-0.013,0.0,3.85,0.4,-0.4,0.0,4958.0,44.0,-44.0,0.0
864,HD 55696 b,3.18,0.18,-0.18,0.0,1.52,0.07,-0.07,0.0,6012.0,,,0.0
865,HD 5583 b,0.53,0.02,-0.02,0.0,9.09,1.5,-1.5,0.0,4830.0,45.0,-45.0,0.0
866,HD 5608 b,1.99,0.04,-0.04,0.0,5.09,0.16,-0.16,0.0,4929.0,32.0,-32.0,0.0
867,HD 564 b,1.2,0.02,-0.02,0.0,1.01,0.05,-0.05,0.0,5902.0,61.0,-61.0,0.0
868,HD 56414 b,0.229,0.004,-0.004,0.0,1.751,0.065,-0.065,0.0,8500.0,150.0,-150.0,0.0
869,HD 5891 b,0.64,0.04,-0.04,0.0,10.64,0.99,-0.99,0.0,4673.0,123.0,-123.0,0.0
870,HD 59686 A b,1.086,0.0006,-0.0007,0.0,13.2,0.3,-0.3,0.0,4658.0,24.0,-24.0,0.0
871,HD 60292 b,1.5,0.1,-0.1,0.0,27.0,1.5,-1.5,0.0,4348.0,28.0,-28.0,0.0
872,HD 60532 b,0.77,0.02,-0.02,0.0,2.57,0.12,-0.12,0.0,6245.0,80.0,-80.0,0.0
873,HD 60532 c,1.6,0.04,-0.04,0.0,2.57,0.12,-0.12,0.0,6245.0,80.0,-80.0,0.0
874,HD 6061 b,0.06,0.001,-0.001,0.0,1.0072,0.0169,-0.0161,0.0,5934.0,75.0,-78.0,0.0
875,HD 62364 b,6.15,0.04,-0.03,0.0,1.401,0.015,-0.015,0.0,6255.0,26.0,-26.0,0.0
876,HD 63433 b,0.0719,0.0031,-0.0044,0.0,0.912,0.034,-0.034,0.0,5640.0,74.0,-74.0,0.0
877,HD 63433 c,0.1458,0.0062,-0.0101,0.0,0.912,0.034,-0.034,0.0,5640.0,74.0,-74.0,0.0
878,HD 63433 d,0.0503,0.0025,-0.0027,0.0,0.912,0.034,-0.034,0.0,5688.0,28.0,-28.0,0.0
879,HD 63454 b,0.04,0.0,0.0,0.0,0.77,0.01,-0.01,0.0,4812.0,28.0,-28.0,0.0
880,HD 63765 b,0.94,0.02,-0.02,0.0,0.83,0.01,-0.01,0.0,5449.0,11.0,-11.0,0.0
881,HD 63935 b,0.083,0.002,-0.002,0.0,0.9598,0.0168,-0.0167,0.0,5513.0,71.0,-73.0,0.0
882,HD 63935 c,0.148,0.003,-0.003,0.0,0.9598,0.0168,-0.0167,0.0,5513.0,71.0,-73.0,0.0
883,HD 64121 b,1.51,0.006,-0.006,0.0,5.44,0.07,-0.07,0.0,5078.0,22.0,-22.0,0.0
884,HD 6434 b,0.14,0.0,0.0,0.0,1.12,0.01,-0.01,0.0,5769.0,14.0,-14.0,0.0
885,HD 65216 b,1.37,0.03,-0.03,0.0,0.88,0.01,-0.01,0.0,5645.0,20.0,-20.0,0.0
886,HD 65216 c,0.54,0.01,-0.01,0.0,0.886644,0.058443,-0.04219,0.0,5623.44,108.21,-169.01,0.0
887,HD 66141 b,1.2,0.1,-0.1,0.0,21.4,0.6,-0.6,0.0,4323.0,15.0,-15.0,0.0
888,HD 66428 b,3.467,0.024,-0.024,0.0,1.102,0.062,-0.062,0.0,5773.0,23.0,-23.0,0.0
889,HD 66428 c,23.0,19.0,-7.6,0.0,1.169119,0.027387,-0.027387,0.0,5647.6,94.33,-94.33,0.0
890,HD 67087 b,1.08,0.04,-0.04,0.0,1.55,0.32,-0.32,0.0,6330.0,47.0,-47.0,0.0
891,HD 67087 c,3.86,0.43,-0.37,0.0,1.55,0.32,-0.32,0.0,6330.0,47.0,-47.0,0.0
892,HD 6718 b,3.55,0.18,-0.18,0.0,0.95,0.02,-0.02,0.0,5801.0,41.0,-41.0,0.0
893,HD 68402 b,2.18,0.09,-0.09,0.0,1.02,0.05,-0.05,0.0,5950.0,100.0,-100.0,0.0
894,HD 6860 b,2.03,0.01,-0.01,0.0,86.4,,,0.0,3802.0,,,0.0
895,HD 68988 b,0.07,0.0,0.0,0.0,1.19,0.02,-0.02,0.0,5932.0,23.0,-23.0,0.0
896,HD 68988 c,13.2,5.3,-2.0,0.0,1.255733,0.028855,-0.028855,0.0,5883.41,103.85,-103.85,0.0
897,HD 69123 b,2.482,0.01,-0.01,0.0,7.72,0.15,-0.15,0.0,4842.0,41.0,-41.0,0.0
898,HD 69830 b,0.0794,0.0012,-0.0012,0.0,0.886947,0.019437,-0.019437,0.0,5420.58,81.31,-81.31,0.0
899,HD 69830 c,0.1882,0.0029,-0.0029,0.0,0.886947,0.019437,-0.019437,0.0,5420.58,81.31,-81.31,0.0
900,HD 69830 d,0.645,0.01,-0.01,0.0,0.886947,0.019437,-0.019437,0.0,5420.58,81.31,-81.31,0.0
901,HD 70642 b,3.318,0.022,-0.021,0.0,0.984,0.022,-0.022,0.0,5732.0,23.0,-23.0,0.0
902,HD 7199 b,1.36,0.02,-0.02,0.0,0.97,0.02,-0.02,0.0,5371.0,28.0,-28.0,0.0
903,HD 72490 b,1.88,0.21,-0.21,0.0,4.96,,,0.0,4934.0,,,0.0
904,HD 72659 b,4.652,0.067,-0.068,0.0,1.522214,0.035865,-0.035865,0.0,5865.17,103.95,-103.95,0.0
905,HD 72892 b,0.228,0.008,-0.008,0.0,1.22,0.06,-0.06,0.0,5688.0,100.0,-100.0,0.0
906,HD 73267 b,2.187,0.016,-0.016,0.0,0.909,0.033,-0.033,0.0,5387.0,10.0,-10.0,0.0
907,HD 73344 b,0.1296,0.0016,-0.0017,0.0,1.22,0.03,-0.03,0.0,6148.0,100.0,-100.0,0.0
908,HD 73344 c,0.3388,0.0042,-0.0043,0.0,1.22,0.03,-0.03,0.0,6148.0,100.0,-100.0,0.0
909,HD 73344 d,6.7,0.25,-0.26,0.0,1.22,0.03,-0.03,0.0,6148.0,100.0,-100.0,0.0
910,HD 73526 b,0.65,0.01,-0.01,0.0,1.53,0.03,-0.03,0.0,5601.0,24.0,-24.0,0.0
911,HD 73534 b,2.99,0.15,-0.15,0.0,2.58,,,0.0,4917.0,,,0.0
912,HD 73583 b,0.0604,0.0027,-0.0026,0.0,0.65,0.02,-0.02,0.0,4511.0,110.0,-110.0,0.0
913,HD 73583 c,0.1242,0.0055,-0.0054,0.0,0.65,0.02,-0.02,0.0,4511.0,110.0,-110.0,0.0
914,HD 74156 b,0.2916,0.0033,-0.0033,0.0,1.47932,0.058573,-0.058653,0.0,5977.0,107.98,-97.62,0.0
915,HD 74156 c,3.82,0.044,-0.044,0.0,1.47932,0.058573,-0.058653,0.0,5977.0,107.98,-97.62,0.0
916,HD 7449 b,2.3,0.04,-0.04,0.0,1.01,,,0.0,6024.0,13.0,-13.0,0.0
917,HD 74698 b,0.121,0.001,-0.001,0.0,1.333,0.012,-0.012,0.0,5783.0,19.0,-19.0,0.0
918,HD 74698 c,4.5,0.2,-0.2,0.0,1.333,0.012,-0.012,0.0,5783.0,19.0,-19.0,0.0
919,HD 75289 b,0.05,0.0,0.0,0.0,1.23,0.02,-0.02,0.0,6117.0,16.0,-16.0,0.0
920,HD 75784 b,1.032,0.066,-0.066,0.0,3.4,,,0.0,4867.0,,,0.0
921,HD 75784 c,6.46,2.92,-2.92,0.0,3.17,0.18,-0.18,0.0,4917.0,44.0,-44.0,0.0
922,HD 75898 b,1.191,0.073,-0.073,0.0,1.58,0.11,-0.11,0.0,5963.0,,,0.0
923,HD 76700 b,0.05,0.0,0.0,0.0,1.37,0.03,-0.03,0.0,5644.0,33.0,-33.0,0.0
924,HD 76920 b,1.165,0.035,-0.035,0.0,8.68,0.34,-0.34,0.0,4664.0,53.0,-53.0,0.0
925,HD 77338 b,0.0614,,,0.0,0.88,0.04,,0.0,5370.0,82.0,,0.0
926,HD 77946 b,0.073,0.001,-0.01,0.0,1.3174,0.0249,-0.0142,0.0,6007.0,83.0,-88.0,0.0
927,HD 79181 b,0.9,0.07,-0.08,0.0,11.06,0.44,-0.43,0.0,4862.0,,,0.0
928,HD 7924 b,0.05664,0.00067,-0.00069,0.0,0.7821,0.0258,-0.0258,0.0,5075.0,83.0,-83.0,0.0
929,HD 7924 c,0.1134,0.0013,-0.0014,0.0,0.7821,0.0258,-0.0258,0.0,5075.0,83.0,-83.0,0.0
930,HD 7924 d,0.1532,0.0021,-0.0021,0.0,0.77984,0.015018,-0.015018,0.0,5171.13,74.18,-74.18,0.0
931,HD 79498 b,2.98,0.15,-0.15,0.0,1.05,0.04,-0.04,0.0,5748.0,,,0.0
932,HD 80606 b,0.46,0.007,-0.007,0.0,1.08884,0.035926,-0.060968,0.0,5524.0,82.99,-126.02,0.0
933,HD 80653 b,0.01661,0.00019,-0.00019,0.0,1.22,0.01,-0.01,0.0,5959.0,61.0,-61.0,0.0
934,HD 80869 b,2.878,0.045,-0.046,0.0,1.062,0.042,-0.042,0.0,5837.0,15.0,-15.0,0.0
935,HD 81040 b,1.94,,,0.0,0.86,0.04,-0.04,0.0,5700.0,50.0,-50.0,0.0
936,HD 81688 b,0.81,,,0.0,13.0,,,0.0,4753.0,15.0,-15.0,0.0
937,HD 81817 b,3.3,0.1,-0.1,0.0,83.8,7.8,-7.8,0.0,4140.0,55.0,-55.0,0.0
938,HD 82886 b,1.58,0.08,-0.08,0.0,5.26,0.31,-0.31,0.0,4953.0,123.0,-123.0,0.0
939,HD 82943 b,1.18,,,0.0,1.1826,0.065222,-0.052954,0.0,5935.0,124.44,-144.14,0.0
940,HD 82943 c,0.747,0.011,-0.011,0.0,1.198905,0.027426,-0.027426,0.0,5918.31,95.18,-95.18,0.0
941,HD 83443 b,0.0406,0.0023,-0.0023,0.0,1.00468,0.054806,-0.037727,0.0,5429.0,95.84,-121.99,0.0
942,HD 83443 c,8.0,0.8,-0.8,0.0,0.94,0.02,-0.02,0.0,5442.0,17.0,-17.0,0.0
943,HD 8535 b,2.45,0.04,-0.06,0.0,1.19,0.04,-0.04,0.0,6136.0,18.0,-18.0,0.0
944,HD 85390 b,1.52,0.04,-0.04,0.0,0.8,0.01,-0.01,0.0,5164.0,10.0,-10.0,0.0
945,HD 8574 b,0.75,0.012,-0.012,0.0,1.423047,0.033246,-0.033246,0.0,6004.14,87.3,-87.3,0.0
946,HD 86081 b,0.0346,0.0027,-0.0027,0.0,1.46,0.14,-0.14,0.0,5939.0,,,0.0
947,HD 86226 b,2.73,0.06,-0.06,0.0,1.053,0.026,-0.026,0.0,5863.0,88.0,-88.0,0.0
948,HD 86226 c,0.049,0.001,-0.001,0.0,1.053,0.026,-0.026,0.0,5863.0,88.0,-88.0,0.0
949,HD 86264 b,2.86,0.07,-0.07,0.0,1.88,0.12,-0.12,0.0,6210.0,44.0,-44.0,0.0
950,HD 86728 b,0.1916,0.00066,-0.00065,0.0,1.237,0.019,-0.019,0.0,5610.0,46.0,-46.0,0.0
951,HD 8673 b,3.02,0.15,-0.15,0.0,1.50225,0.06146,-0.078605,0.0,6389.05,157.03,-119.46,0.0
952,HD 86950 b,2.72,0.08,-0.08,0.0,8.8,0.6,-0.6,0.0,4805.0,100.0,-100.0,0.0
953,HD 87646 b,0.117,0.003,-0.003,0.0,1.55,0.22,-0.22,0.0,5770.0,80.0,-80.0,0.0
954,HD 87816 b,1.618,0.0003,-0.0003,0.0,9.0,0.19,-0.19,0.0,4989.0,46.0,-46.0,0.0
955,HD 87816 c,10.14,0.99,-0.48,0.0,9.0,0.19,-0.19,0.0,4989.0,46.0,-46.0,0.0
956,HD 87883 b,3.6,0.08,-0.08,0.0,0.76,0.03,-0.03,0.0,4980.0,44.0,-44.0,0.0
957,HD 88133 b,0.04691,0.0008,-0.0008,0.0,1.943,0.064,-0.064,0.0,5438.0,34.0,-34.0,0.0
958,HD 88986 b,0.58,0.04,-0.04,0.0,1.543,0.01,-0.01,0.0,5861.0,17.0,-17.0,0.0
959,HD 89307 b,3.27,0.07,-0.07,0.0,1.05,0.04,-0.04,0.0,5950.0,44.0,-44.0,0.0
960,HD 89345 b,0.1066,0.0012,-0.0014,0.0,1.747,0.049,-0.05,0.0,5576.0,73.0,-76.0,0.0
961,HD 89744 b,0.91,0.01,-0.01,0.0,2.13257,0.097324,-0.106369,0.0,6249.16,127.94,-139.2,0.0
962,HD 90156 b,0.2509,0.0036,-0.0037,0.0,0.920286,0.020212,-0.020212,0.0,5629.62,80.47,-80.47,0.0
963,HD 9174 b,2.2,0.09,-0.09,0.0,1.67,0.07,-0.07,0.0,5577.0,100.0,-100.0,0.0
964,HD 92788 b,0.949,0.013,-0.013,0.0,1.161955,0.027366,-0.027366,0.0,5702.25,92.42,-92.42,0.0
965,HD 92788 c,8.26,0.36,-0.28,0.0,1.161955,0.027366,-0.027366,0.0,5702.25,92.42,-92.42,0.0
966,HD 93963 A b,0.02061,0.0004,-0.0004,0.0,1.0311,0.0176,-0.0169,0.0,5908.0,66.0,-72.0,0.0
967,HD 93963 A c,0.04726,0.0008,-0.0009,0.0,1.0311,0.0176,-0.0169,0.0,5908.0,66.0,-72.0,0.0
968,HD 9446 b,0.189,0.006,-0.006,0.0,1.0,,,0.0,5793.0,22.0,-22.0,0.0
969,HD 9446 c,0.654,0.022,-0.022,0.0,1.0,,,0.0,5793.0,22.0,-22.0,0.0
970,HD 94771 b,3.48,0.03,-0.03,0.0,1.903,0.019,-0.019,0.0,5631.0,21.0,-21.0,0.0
971,HD 94834 b,2.74,0.18,-0.18,0.0,4.2,,,0.0,4798.0,,,0.0
972,HD 94890 b,2.07,0.01,-0.01,0.0,10.71,0.23,-0.23,0.0,4867.0,38.0,-38.0,0.0
973,HD 94890 c,4.33,0.02,-0.02,0.0,10.71,0.23,-0.23,0.0,4867.0,38.0,-38.0,0.0
974,HD 95089 b,1.51,0.05,-0.05,0.0,4.9,0.1,-0.1,0.0,5002.0,44.0,-44.0,0.0
975,HD 95089 c,3.33,0.31,-0.31,0.0,5.08,,,0.0,4918.0,,,0.0
976,HD 95127 b,1.28,0.08,-0.08,0.0,41.01,18.22,-18.22,0.0,4218.0,30.0,-30.0,0.0
977,HD 95338 b,0.262,0.002,-0.002,0.0,0.87,0.04,-0.04,0.0,5212.0,16.0,-11.0,0.0
978,HD 95544 b,3.386,0.075,-0.077,0.0,1.088,0.072,-0.072,0.0,5722.0,15.0,-15.0,0.0
979,HD 95735 c,3.1,0.13,-0.11,0.0,0.369083,0.006667,-0.006667,0.0,3719.95,28.3,-28.3,0.0
980,HD 95872 b,5.15,0.16,-0.16,0.0,0.84,0.04,-0.04,0.0,5312.0,100.0,-100.0,0.0
981,HD 96063 b,0.99,0.03,-0.03,0.0,4.5,0.1,-0.1,0.0,5148.0,44.0,-44.0,0.0
982,HD 96127 b,1.4,,,0.0,35.0,17.0,-17.0,0.0,4152.0,23.0,-23.0,0.0
983,HD 96167 b,1.332,0.098,-0.098,0.0,1.94,,,0.0,5733.0,,,0.0
984,HD 96992 b,1.24,0.05,-0.05,0.0,7.43,1.1,-1.1,0.0,4725.0,10.0,-10.0,0.0
985,HD 97048 b,130.0,,,0.0,2.25,,,0.0,10000.0,,,0.0
986,HD 97658 b,0.0805,0.001,-0.0011,0.0,0.754247,0.013251,-0.013251,0.0,5194.04,67.44,-67.44,0.0
987,HD 98219 b,1.26,0.12,-0.12,0.0,4.6,,,0.0,4925.0,,,0.0
988,HD 98649 b,5.6,0.4,-0.4,0.0,1.0,,,0.0,5759.0,35.0,-35.0,0.0
989,HD 98736 b,1.864,0.091,-0.091,0.0,0.93,0.04,-0.04,0.0,5271.0,,,0.0
990,HD 99109 b,1.11,0.02,-0.02,0.0,0.98,0.02,-0.02,0.0,5282.0,32.0,-32.0,0.0
991,HD 99283 b,1.08,0.05,-0.07,0.0,11.21,0.66,-0.39,0.0,4886.0,,,0.0
992,HD 99492 b,0.1232,0.0071,-0.0071,0.0,0.750336,0.04725,-0.05478,0.0,5069.61,152.72,-125.83,0.0
993,HD 99706 b,2.14,0.08,-0.08,0.0,5.4,0.1,-0.1,0.0,4932.0,44.0,-44.0,0.0
994,HIP 107773 b,0.72,0.03,-0.03,0.0,11.6,1.4,-1.4,0.0,4945.0,100.0,-100.0,0.0
995,HIP 113103 b,0.06899,0.00029,-0.00023,0.0,0.742,0.013,-0.013,0.0,4930.0,100.0,-100.0,0.0
996,HIP 113103 c,0.10479,0.00045,-0.00035,0.0,0.742,0.013,-0.013,0.0,4930.0,100.0,-100.0,0.0
997,HIP 114933 b,2.84,0.09,-0.09,0.0,5.27,0.05,-0.05,0.0,4823.0,59.0,-59.0,0.0
998,HIP 116454 b,0.0792,0.0011,-0.001,0.0,0.758,0.024,-0.022,0.0,5048.0,79.0,-78.0,0.0
999,HIP 12961 b,0.25,0.01,-0.01,0.0,0.65,0.06,-0.06,0.0,3901.0,175.0,-175.0,0.0
1000,HIP 14810 b,0.0692,0.004,-0.004,0.0,1.0,0.06,-0.06,0.0,5485.0,44.0,-44.0,0.0
1001,HIP 14810 c,0.545,0.031,-0.031,0.0,1.0,0.06,-0.06,0.0,5485.0,44.0,-44.0,0.0
1002,HIP 14810 d,1.89,0.11,-0.11,0.0,1.0,0.06,-0.06,0.0,5485.0,44.0,-44.0,0.0
1003,HIP 29442 c,0.04518,0.00082,-0.00082,0.0,0.98,0.007,-0.007,0.0,5289.0,69.0,-69.0,0.0
1004,HIP 29442 d,0.0649,0.0009,-0.001,0.0,0.98,0.03,-0.03,0.0,5289.0,69.0,-69.0,0.0
1005,HIP 5158 b,0.89,0.02,-0.02,0.0,0.75,0.06,-0.06,0.0,4813.0,171.0,-171.0,0.0
1006,HIP 5158 c,7.7,1.88,-1.88,0.0,0.754089,0.0527,-0.085993,0.0,4813.0,207.69,-128.99,0.0
1007,HIP 54597 b,3.81,0.02,-0.02,0.0,0.66,0.025,-0.025,0.0,4799.0,90.0,-90.0,0.0
1008,HIP 56640 b,3.73,0.1,-0.1,0.0,4.93,0.05,-0.05,0.0,4769.0,55.0,-55.0,0.0
1009,HIP 57274 b,0.07,0.0,0.0,0.0,0.78,0.05,-0.05,0.0,4510.0,136.0,-136.0,0.0
1010,HIP 57274 c,0.178,,,0.0,0.68,0.03,-0.03,0.0,4640.0,100.0,-100.0,0.0
1011,HIP 57274 d,1.01,,,0.0,0.68,0.03,-0.03,0.0,4640.0,100.0,-100.0,0.0
1012,HIP 65 A b,0.01782,0.0002,-0.00021,0.0,0.7242,0.0081,-0.0091,0.0,4590.0,49.0,-49.0,0.0
1013,HIP 65426 b,92.0,,,0.0,1.77,0.05,-0.05,0.0,8840.0,200.0,-200.0,0.0
1014,HIP 65891 b,2.81,0.09,-0.09,0.0,8.93,1.02,-1.02,0.0,5000.0,100.0,-100.0,0.0
1015,HIP 66074 b,0.799,0.035,-0.035,0.0,0.69,0.013,-0.012,0.0,4300.0,60.0,-60.0,0.0
1016,HIP 67522 b,0.0748,0.0016,-0.0018,0.0,1.38,0.06,-0.06,0.0,5675.0,75.0,-75.0,0.0
1017,HIP 67522 c,0.1228,0.0042,-0.0053,0.0,1.38,0.06,-0.06,0.0,5675.0,75.0,-75.0,0.0
1018,HIP 67537 b,4.91,0.14,-0.13,0.0,8.69,0.88,-0.88,0.0,4985.0,100.0,-100.0,0.0
1019,HIP 67851 b,0.46,0.01,-0.01,0.0,5.92,0.44,-0.44,0.0,4890.0,100.0,-100.0,0.0
1020,HIP 67851 c,4.55,0.05,-0.05,0.0,5.45,0.11,-0.11,0.0,4840.0,43.0,-43.0,0.0
1021,HIP 74890 b,2.1,0.09,-0.09,0.0,5.77,0.53,-0.53,0.0,4850.0,100.0,-100.0,0.0
1022,HIP 75092 b,2.02,0.02,-0.02,0.0,4.53,0.05,-0.05,0.0,4891.0,50.0,-50.0,0.0
1023,HIP 8152 b,0.093,0.002,-0.002,0.0,0.9603,0.0175,-0.0163,0.0,5618.0,74.0,-73.0,0.0
1024,HIP 8152 c,0.139,0.003,-0.002,0.0,0.9603,0.0175,-0.0163,0.0,5618.0,74.0,-73.0,0.0
1025,HIP 8541 b,2.8,0.25,-0.25,0.0,7.83,1.02,-1.02,0.0,4670.0,100.0,-100.0,0.0
1026,HIP 90988 b,1.26,0.02,-0.02,0.0,3.94,0.04,-0.04,0.0,4883.0,57.0,-57.0,0.0
1027,HIP 91258 b,0.06,0.0,0.0,0.0,0.89,0.03,-0.03,0.0,5519.0,70.0,-70.0,0.0
1028,HIP 94235 b,0.0787,0.00056,-0.00017,0.0,1.08,0.11,-0.1,0.0,5991.0,50.0,-50.0,0.0
1029,HIP 9618 b,0.145,0.003,-0.003,0.0,0.9593,0.0173,-0.0163,0.0,5649.0,75.0,-71.0,0.0
1030,HIP 9618 c,0.2669,0.0046,-0.0069,0.0,0.9662,0.005,-0.005,0.0,5609.0,33.0,-33.0,0.0
