,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
50,BD+48 738 b,1.0,,,0.0,11.0,1.0,-1.0,0.0,4414.0,15.0,-15.0,0.0
51,BD+48 740 b,1.7,0.1,-0.1,0.0,10.33,1.81,-1.81,0.0,4534.0,8.0,-8.0,0.0
52,BD+49 828 b,4.2,0.32,-0.2,0.0,7.6,1.3,-1.3,0.0,4943.0,30.0,-30.0,0.0
53,BD+60 1417 b,1662.0,,,0.0,0.797,0.051,-0.051,0.0,4993.0,124.0,-124.0,0.0
54,BD-08 2823 b,0.06,0.0,0.0,0.0,0.71,0.04,-0.04,0.0,4816.0,114.0,-114.0,0.0
55,BD-10 3166 b,0.04,0.0,0.0,0.0,0.91,0.04,-0.04,0.0,5393.0,44.0,-44.0,0.0
56,BD-11 4672 b,2.36,0.04,-0.04,0.0,0.639,0.02,-0.022,0.0,4550.0,110.0,-110.0,0.0
57,BD-11 4672 c,0.3,0.01,-0.01,0.0,0.639,0.02,-0.022,0.0,4550.0,110.0,-110.0,0.0
58,BD-13 2130 b,1.66,0.12,-0.12,0.0,19.17,4.96,-4.96,0.0,4545.0,71.0,-71.0,0.0
59,BD-14 3065 b,0.0656,0.0026,-0.0026,0.0,2.35,0.08,-0.08,0.0,6935.0,90.0,-90.0,0.0
60,BD-17 63 b,1.34,0.02,-0.02,0.0,0.74,0.04,-0.04,0.0,4665.0,120.0,-120.0,0.0
61,BD-210397 b,2.63,0.06,-0.05,0.0,0.747,0.088,-0.088,0.0,4051.0,239.0,-239.0,0.0
62,BD-210397 c,5.9,3.4,-0.5,0.0,0.747,0.088,-0.088,0.0,4051.0,239.0,-239.0,0.0
63,Barnard b,0.02294,0.00033,-0.00033,0.0,0.185,0.006,-0.006,0.0,3195.0,28.0,-28.0,0.0
64,Barnard c,0.0274,0.0004,-0.0004,0.0,0.185,0.006,-0.006,0.0,3195.0,28.0,-28.0,0.0
65,Barnard d,0.0188,0.0003,-0.0003,0.0,0.185,0.006,-0.006,0.0,3195.0,28.0,-28.0,0.0
66,Barnard e,0.0381,0.0005,-0.0005,0.0,0.185,0.006,-0.006,0.0,3195.0,28.0,-28.0,0.0
67,CD Cet b,0.0185,0.0013,-0.0013,0.0,0.175,0.006,-0.006,0.0,3130.0,51.0,-51.0,0.0
68,CFHTWIR-Oph 98 b,200.0,6.0,-6.0,0.0,0.245,0.007,-0.008,0.0,2320.0,40.0,-40.0,0.0
69,COCONUTS-2 b,7506.0,5205.0,-2060.0,0.0,0.388,0.011,-0.011,0.0,3406.0,69.0,-69.0,0.0
70,CoRoT-1 b,0.02752,0.00022,-0.00023,0.0,1.23,0.02,-0.02,0.0,6298.0,66.0,-66.0,0.0
71,CoRoT-10 b,0.106,0.0014,-0.0014,0.0,0.743,0.055,-0.055,0.0,5075.0,75.0,-75.0,0.0
72,CoRoT-11 b,0.04407,0.00056,-0.00059,0.0,1.37,0.03,-0.03,0.0,6440.0,120.0,-120.0,0.0
73,CoRoT-12 b,0.04013,0.0009,-0.00093,0.0,1.116,0.096,-0.092,0.0,5675.0,80.0,-80.0,0.0
74,CoRoT-13 b,0.05107,0.0003,-0.00031,0.0,1.01,0.03,-0.03,0.0,5945.0,90.0,-90.0,0.0
75,CoRoT-14 b,0.02687,0.00078,-0.00078,0.0,1.19,0.14,-0.14,0.0,6035.0,100.0,-100.0,0.0
76,CoRoT-16 b,0.0618,0.0015,-0.0015,0.0,1.19,0.14,-0.13,0.0,5650.0,100.0,-100.0,0.0
77,CoRoT-17 b,0.0461,0.0008,-0.0008,0.0,1.59,0.07,-0.07,0.0,5740.0,80.0,-80.0,0.0
78,CoRoT-18 b,0.0295,0.0015,-0.0017,0.0,1.0,0.13,-0.13,0.0,5440.0,100.0,-100.0,0.0
79,CoRoT-19 b,0.0518,0.0008,-0.0008,0.0,1.65,0.04,-0.04,0.0,6090.0,70.0,-70.0,0.0
80,CoRoT-2 b,0.02798,0.00076,-0.0008,0.0,0.906,0.026,-0.027,0.0,5625.0,120.0,-120.0,0.0
81,CoRoT-20 b,0.0901,0.0021,-0.0022,0.0,1.02,0.05,-0.05,0.0,5880.0,90.0,-90.0,0.0
82,CoRoT-21 b,0.0416,0.00094,-0.001,0.0,1.95,0.21,-0.21,0.0,6200.0,100.0,-100.0,0.0
83,CoRoT-22 b,0.092,0.0014,-0.0014,0.0,1.136,0.038,-0.09,0.0,5939.0,54.0,-120.0,0.0
84,CoRoT-23 b,0.048,0.004,-0.004,0.0,1.61,0.18,-0.18,0.0,5900.0,100.0,-100.0,0.0
85,CoRoT-24 b,0.056,0.002,-0.002,0.0,0.86,0.09,-0.09,0.0,4950.0,150.0,-150.0,0.0
86,CoRoT-24 c,0.098,0.003,-0.003,0.0,0.86,0.09,-0.09,0.0,4950.0,150.0,-150.0,0.0
87,CoRoT-25 b,0.0578,0.002,-0.0009,0.0,1.19,0.14,-0.03,0.0,6040.0,90.0,-90.0,0.0
88,CoRoT-26 b,0.0526,0.001,-0.001,0.0,1.79,0.18,-0.09,0.0,5590.0,100.0,-100.0,0.0
89,CoRoT-27 b,0.0467,0.0015,-0.0017,0.0,1.08,0.18,-0.06,0.0,5900.0,120.0,-120.0,0.0
90,CoRoT-28 b,0.0603,0.005,-0.005,0.0,1.78,0.11,-0.11,0.0,5150.0,100.0,-100.0,0.0
91,CoRoT-29 b,0.039,0.0018,-0.002,0.0,0.9,0.12,-0.12,0.0,5260.0,100.0,-100.0,0.0
92,CoRoT-3 b,0.05783,0.00085,-0.00085,0.0,1.575,0.095,-0.095,0.0,6740.0,140.0,-140.0,0.0
93,CoRoT-30 b,0.0844,0.0012,-0.0012,0.0,0.91,0.09,-0.03,0.0,5650.0,100.0,-100.0,0.0
94,CoRoT-31 b,0.0586,0.0034,-0.0034,0.0,2.15,0.56,-0.66,0.0,5700.0,120.0,-120.0,0.0
95,CoRoT-35 b,0.0429,0.00092,-0.00092,0.0,1.65,0.1,-0.11,0.0,6390.0,130.0,-130.0,0.0
96,CoRoT-36 b,0.066,0.007,-0.007,0.0,1.52,0.2,-0.1,0.0,6730.0,140.0,-140.0,0.0
97,CoRoT-4 b,0.0912,0.00126,-0.00131,0.0,1.1475,0.0926,-0.0333,0.0,6190.0,60.0,-60.0,0.0
98,CoRoT-5 b,0.04963,0.00033,-0.00032,0.0,1.186,0.04,-0.04,0.0,6100.0,65.0,-65.0,0.0
99,CoRoT-6 b,0.0854,0.0013,-0.0014,0.0,1.025,0.026,-0.026,0.0,6090.0,50.0,-50.0,0.0
100,CoRoT-7 b,0.0172,0.00029,-0.00029,0.0,0.87,0.04,-0.04,0.0,5275.0,75.0,-75.0,0.0
101,CoRoT-7 c,0.045,0.001,-0.001,0.0,0.864273,0.053165,-0.040252,0.0,5256.0,91.33,-130.85,0.0
102,CoRoT-8 b,0.063,0.001,-0.001,0.0,0.77,0.02,-0.02,0.0,5080.0,80.0,-80.0,0.0
103,CoRoT-9 b,0.407,0.005,-0.005,0.0,0.94,0.04,-0.04,0.0,5625.0,80.0,-80.0,0.0
104,CoRoTID 223977153 b,0.071,0.001,-0.001,0.0,0.79,0.08,-0.09,0.0,5970.0,100.0,-100.0,0.0
105,DMPP-1 b,0.1462,0.0012,-0.0012,0.0,1.26,0.02,-0.02,0.0,6196.0,29.0,-29.0,0.0
106,DMPP-1 c,0.0733,0.0006,-0.0007,0.0,1.26,0.02,-0.02,0.0,6196.0,29.0,-29.0,0.0
107,DMPP-1 d,0.0422,0.0004,-0.0003,0.0,1.26,0.02,-0.02,0.0,6196.0,29.0,-29.0,0.0
108,DMPP-1 e,0.0651,0.0005,-0.0005,0.0,1.26,0.02,-0.02,0.0,6196.0,29.0,-29.0,0.0
109,DMPP-2 b,0.0664,0.0005,-0.0005,0.0,1.78,0.09,-0.09,0.0,6500.0,100.0,-100.0,0.0
110,DMPP-3 A b,0.0662,0.0013,-0.0013,0.0,0.91,0.02,-0.02,0.0,5138.0,99.0,-99.0,0.0
111,DMPP-4 b,0.04853,0.00036,-0.00197,0.0,1.38,0.01,-0.01,0.0,6400.0,50.0,-50.0,0.0
112,EPIC 201170410.02,0.0349,0.0027,-0.0022,0.0,0.282,0.074,-0.069,0.0,3648.0,172.0,-143.0,0.0
113,EPIC 201595106 b,0.0177,0.0003,-0.0003,0.0,0.98,0.025,-0.025,0.0,5679.0,60.0,-39.0,0.0
114,EPIC 201757695.02,0.0296,0.0005,-0.0005,0.0,0.655,0.041,-0.045,0.0,4520.0,108.0,-54.0,0.0
115,EPIC 201841433 b,0.035,0.0009,-0.001,0.0,0.628461,0.04342,-0.024858,0.0,5053.0,103.0,-166.0,0.0
116,EPIC 211822797 b,0.131,0.004,-0.005,0.0,0.571699,0.027287,-0.027283,0.0,4148.21,82.41,-80.21,0.0
117,EPIC 211945201 b,0.1493,0.0015,-0.0015,0.0,1.39,0.02,-0.02,0.0,6069.0,90.0,-90.0,0.0
118,EPIC 212737443 b,0.098,0.004,-0.004,0.0,0.673,0.024,-0.024,0.0,4684.0,79.0,-79.0,0.0
119,EPIC 212737443 c,0.28,0.006,-0.006,0.0,0.673,0.024,-0.024,0.0,4684.0,79.0,-79.0,0.0
120,EPIC 220674823 b,0.01312,0.00014,-0.00014,0.0,0.95,0.05,-0.05,0.0,5496.0,46.0,-46.0,0.0
121,EPIC 220674823 c,0.1073,0.0026,-0.0027,0.0,0.99,0.012,-0.012,0.0,5578.0,46.0,-46.0,0.0
122,EPIC 229004835 b,0.1237,0.0017,-0.0017,0.0,0.999,0.008,-0.008,0.0,5868.0,60.0,-60.0,0.0
123,EPIC 246851721 b,0.07229,0.00074,-0.00075,0.0,1.586,0.034,-0.033,0.0,6202.0,52.0,-50.0,0.0
124,EPIC 248847494 b,4.5,1.0,-1.0,0.0,2.7,0.12,-0.12,0.0,4898.0,68.0,-68.0,0.0
125,EPIC 249893012 b,0.047,0.005,-0.007,0.0,1.71,0.04,-0.04,0.0,5430.0,85.0,-85.0,0.0
126,EPIC 249893012 c,0.13,0.01,-0.02,0.0,1.71,0.04,-0.04,0.0,5430.0,85.0,-85.0,0.0
127,EPIC 249893012 d,0.22,0.02,-0.04,0.0,1.71,0.04,-0.04,0.0,5430.0,85.0,-85.0,0.0
128,G 264-012 b,0.02279,0.00061,-0.00061,0.0,0.305,0.011,-0.011,0.0,3326.0,54.0,-54.0,0.0
129,G 264-012 c,0.0525,0.0014,-0.0014,0.0,0.305,0.011,-0.011,0.0,3326.0,54.0,-54.0,0.0
130,G 9-40 b,0.0418,0.00064,-0.00064,0.0,0.3026,0.0095,-0.0095,0.0,3395.0,51.0,-51.0,0.0
131,GJ 1002 b,0.0457,0.0013,-0.0013,0.0,0.137,0.005,-0.005,0.0,3024.0,52.0,-52.0,0.0
132,GJ 1002 c,0.0738,0.0021,-0.0021,0.0,0.137,0.005,-0.005,0.0,3024.0,52.0,-52.0,0.0
133,GJ 1061 b,0.021,0.001,-0.001,0.0,0.156,0.005,-0.005,0.0,2953.0,98.0,-98.0,0.0
134,GJ 1061 c,0.035,0.001,-0.001,0.0,0.156,0.005,-0.005,0.0,2953.0,98.0,-98.0,0.0
135,GJ 1061 d,0.054,0.001,-0.001,0.0,0.156,0.005,-0.005,0.0,2953.0,98.0,-98.0,0.0
136,GJ 1132 b,0.0157,0.00013,-0.00013,0.0,0.2211,0.0069,-0.0081,0.0,3229.0,78.0,-62.0,0.0
