pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,type
Kepler-1732 b,0.2015,,,0.0,0.973,0.419,-0.09,0.0,6000.0,158.0,-193.0,0.0,hot
HAT-P-57 b,0.0406,0.0011,-0.0011,0.0,1.5,0.05,-0.05,0.0,7500.0,250.0,-250.0,0.0,hot
HD 28109 b,0.1357,0.0034,-0.0034,0.0,1.446,0.035,-0.035,0.0,6120.0,50.0,-50.0,0.0,hot
K2-278 b,0.0488,0.0009,-0.0009,0.0,1.61,0.05,-0.05,0.0,6747.0,383.0,-383.0,0.0,hot
Kepler-744 b,0.1049,,,0.0,1.592,0.711,-0.504,0.0,5957.0,169.0,-181.0,0.0,hot
TOI-5153 b,0.158,0.006,-0.006,0.0,1.4,0.04,-0.04,0.0,6300.0,80.0,-80.0,0.0,hot
Kepler-318 b,0.0566,,,0.0,1.47,0.717,-0.384,0.0,5903.0,165.0,-180.0,0.0,hot
Kepler-1381 b,0.1728,,,0.0,0.994,0.374,-0.092,0.0,6137.0,148.0,-202.0,0.0,hot
Kepler-132 e,0.4393,,,0.0,1.101,0.157,-0.173,0.0,5931.0,107.0,-118.0,0.0,hot
WASP-94 B b,0.0335,0.0006,-0.0005,0.0,1.35,0.12,-0.12,0.0,6040.0,90.0,-90.0,0.0,hot
Kepler-1204 b,0.385,,,0.0,1.07,0.47,-0.47,0.0,6065.0,125.0,-125.0,0.0,hot
Kepler-203 c,0.06,,,0.0,0.91,0.63,-0.63,0.0,5924.0,94.0,-94.0,0.0,hot
HD 213885 b,0.02012,0.00015,-0.00012,0.0,1.1011,0.008,-0.0075,0.0,5978.0,50.0,-50.0,0.0,hot
WASP-68 b,0.06219,0.00049,-0.00051,0.0,1.69,0.11,-0.06,0.0,5910.0,60.0,-60.0,0.0,hot
Kepler-893 b,0.0699,,,0.0,1.03,0.495,-0.093,0.0,6108.0,163.0,-230.0,0.0,hot
Kepler-941 b,0.1311,,,0.0,0.969,0.386,-0.103,0.0,6018.0,177.0,-211.0,0.0,hot
WASP-171 b,0.0504,0.00083,-0.00083,0.0,1.637,0.091,-0.046,0.0,5965.0,100.0,-100.0,0.0,hot
TOI-778 b,0.06,0.003,-0.003,0.0,1.71,0.05,-0.05,0.0,6643.0,150.0,-150.0,0.0,hot
Kepler-1154 c,0.0837,,,0.0,1.022,0.378,-0.093,0.0,6163.0,155.0,-199.0,0.0,hot
Kepler-79 e,0.39,,,0.0,1.403,0.252,-0.252,0.0,6189.0,100.0,-100.0,0.0,hot
WASP-24 b,0.03635,0.00079,-0.00079,0.0,1.317,0.041,-0.041,0.0,6107.0,77.0,-77.0,0.0,hot
Kepler-1494 b,0.3982,,,0.0,1.008,0.417,-0.111,0.0,5915.0,178.0,-208.0,0.0,hot
Kepler-433 b,0.0679,0.0027,-0.0027,0.0,2.26,0.25,-0.25,0.0,6360.0,140.0,-140.0,0.0,hot
Kepler-1431 b,0.064,,,0.0,1.0,0.45,-0.45,0.0,5969.0,133.0,-133.0,0.0,hot
Kepler-1272 b,0.272,,,0.0,1.12,0.52,-0.52,0.0,6057.0,123.0,-123.0,0.0,hot
K2-75 b,0.081,0.0014,-0.0014,0.0,1.56,0.15,-0.15,0.0,5995.0,94.0,-94.0,0.0,hot
Kepler-1738 b,0.0781,,,0.0,1.001,0.318,-0.106,0.0,6063.0,190.0,-232.0,0.0,hot
Kepler-714 b,0.0832,,,0.0,1.076,0.353,-0.118,0.0,6214.0,174.0,-217.0,0.0,hot
Kepler-1211 b,0.099,,,0.0,0.95,0.46,-0.46,0.0,6054.0,112.0,-112.0,0.0,hot
Kepler-1769 b,0.406,,,0.0,1.17,0.47,-0.47,0.0,6278.0,71.0,-71.0,0.0,hot
Kepler-1578 b,0.0252,,,0.0,1.023,0.322,-0.138,0.0,6046.0,189.0,-210.0,0.0,hot
TOI-1744.01,0.164086,0.007321,-0.00801,0.0,1.14,0.05,-0.05,0.0,6179.0,125.0,-125.0,0.0,hot
KELT-10 b,0.0525,0.00086,-0.00097,0.0,1.209,0.047,-0.035,0.0,5948.0,74.0,-74.0,0.0,hot
Kepler-1370 c,0.08084,0.00033,-0.00033,0.0,1.466,0.039,-0.038,0.0,6190.0,60.0,-60.0,0.0,hot
Kepler-122 b,0.064,,,0.0,1.216,0.239,-0.239,0.0,6050.0,137.0,-137.0,0.0,hot
Kepler-164 e,0.41214,0.00432,-0.00432,0.0,1.022,0.028,-0.028,0.0,5923.0,60.0,-60.0,0.0,hot
Kepler-416 c,0.1038,,,0.0,1.075,0.431,-0.144,0.0,5977.0,177.0,-213.0,0.0,hot
HAT-P-67 b,0.06505,0.00273,-0.00079,0.0,2.546,0.099,-0.084,0.0,6406.0,65.0,-61.0,0.0,hot
KOI-351 e,0.416,,,0.0,1.07,0.46,-0.46,0.0,6330.0,86.0,-86.0,0.0,hot
Kepler-122 c,0.1051,,,0.0,1.191,0.189,-0.189,0.0,6038.0,121.0,-121.0,0.0,hot
Kepler-1025 b,0.228,,,0.0,1.06,0.41,-0.41,0.0,6290.0,75.0,-75.0,0.0,hot
HAT-P-7 b,0.0376,,,0.0,1.952,0.099,-0.11,0.0,6440.0,76.0,-89.0,0.0,hot
Kepler-59 b,0.104,,,0.0,1.006,0.312,-0.111,0.0,6296.0,169.0,-207.0,0.0,hot
Kepler-1921 c,0.0454,,,0.0,2.0,0.665,-0.793,0.0,6120.0,185.0,-221.0,0.0,hot
HD 22946 d,0.2958,0.0044,-0.0042,0.0,1.117,0.009,-0.009,0.0,6169.0,64.0,-64.0,0.0,hot
Kepler-1102 b,0.2731,,,0.0,1.119,0.532,-0.147,0.0,6119.0,151.0,-195.0,0.0,hot
Kepler-24 c,0.10612,0.00115,-0.00115,0.0,1.084,0.041,-0.04,0.0,6022.0,60.0,-60.0,0.0,hot
Kepler-5 b,0.05064,0.0007,-0.0007,0.0,1.793,0.043,-0.062,0.0,6297.0,60.0,-60.0,0.0,hot
Kepler-1100 b,0.0689,,,0.0,0.989,0.433,-0.091,0.0,6201.0,153.0,-191.0,0.0,hot
Kepler-7 b,0.06224,0.00109,-0.00084,0.0,1.843,0.048,-0.066,0.0,5933.0,44.0,-44.0,0.0,hot
Kepler-328 b,0.2199,,,0.0,1.069,0.323,-0.129,0.0,6194.0,196.0,-295.0,0.0,hot
Kepler-1620 b,0.4322,,,0.0,1.054,0.489,-0.113,0.0,6210.0,163.0,-206.0,0.0,hot
MASCARA-4 b,0.047,0.004,-0.004,0.0,1.92,0.11,-0.11,0.0,7800.0,200.0,-200.0,0.0,hot
Kepler-140 b,0.0443,,,0.0,1.089,0.174,-0.094,0.0,5945.0,106.0,-130.0,0.0,hot
WASP-184 b,0.0627,0.0012,-0.0012,0.0,1.65,0.09,-0.09,0.0,6000.0,100.0,-100.0,0.0,hot
Kepler-279 d,0.2901,,,0.0,1.067,0.426,-0.102,0.0,6781.0,157.0,-230.0,0.0,hot
Kepler-464 b,0.077,,,0.0,1.27,0.17,-0.17,0.0,5919.0,50.0,-50.0,0.0,hot
TOI-4137 b,0.05222,0.00089,-0.00096,0.0,1.438,0.039,-0.038,0.0,6202.0,94.0,-90.0,0.0,hot
Kepler-282 d,0.1648,,,0.0,0.887,0.361,-0.07,0.0,6102.0,163.0,-178.0,0.0,hot
Kepler-336 b,0.0307,,,0.0,0.865,0.373,-0.068,0.0,6029.0,153.0,-165.0,0.0,hot
TOI-6016 b,0.055,0.002,-0.002,0.0,1.51,0.03,-0.03,0.0,6110.0,50.0,-50.0,0.0,hot
Kepler-193 b,0.1058,,,0.0,1.137,0.618,-0.13,0.0,6343.0,152.0,-244.0,0.0,hot
TOI-4495.01,0.061732577,,,0.0,1.34,,,0.0,6156.0,,,0.0,hot
Kepler-981 b,0.0535,,,0.0,0.934,0.351,-0.084,0.0,5988.0,149.0,-187.0,0.0,hot
WASP-87 b,0.02946,0.00075,-0.00075,0.0,1.627,0.062,-0.062,0.0,6450.0,120.0,-120.0,0.0,hot
Kepler-987 b,0.442,,,0.0,0.93,0.42,-0.42,0.0,5993.0,108.0,-108.0,0.0,hot
Kepler-168 b,0.0543,,,0.0,1.119,0.621,-0.124,0.0,6251.0,170.0,-208.0,0.0,hot
Kepler-1488 c,0.0656,,,0.0,1.135,0.472,-0.17,0.0,6035.0,150.0,-176.0,0.0,hot
Kepler-457 d,0.0996,,,0.0,1.242,0.38,-0.205,0.0,6474.0,159.0,-250.0,0.0,hot
Kepler-502 b,0.0532,,,0.0,1.031,0.451,-0.092,0.0,6225.0,156.0,-203.0,0.0,hot
K2-79 b,0.0987,0.0012,-0.0012,0.0,1.28,0.12,-0.12,0.0,5926.0,86.0,-86.0,0.0,hot
Kepler-1502 b,0.2482,,,0.0,1.155,0.543,-0.139,0.0,6446.0,154.0,-234.0,0.0,hot
TOI-6038 A b,0.069,0.0012,-0.0011,0.0,1.648,0.045,-0.035,0.0,6110.0,100.0,-100.0,0.0,hot
Kepler-910 b,0.0376,,,0.0,1.506,0.035,-0.035,0.0,6173.0,93.0,-93.0,0.0,hot
Kepler-381 b,0.0672,,,0.0,2.058,0.722,-0.781,0.0,6550.0,185.0,-247.0,0.0,hot
Kepler-1884 b,0.0845,,,0.0,0.906,0.379,-0.076,0.0,5984.0,171.0,-187.0,0.0,hot
Kepler-1015 b,0.1396,,,0.0,1.904,0.388,-0.534,0.0,6384.0,70.0,-89.0,0.0,hot
Kepler-228 b,0.0374,,,0.0,0.972,0.414,-0.09,0.0,6046.0,163.0,-217.0,0.0,hot
Kepler-1407 b,0.1502,,,0.0,1.513,0.256,-0.313,0.0,5902.0,70.0,-79.0,0.0,hot
K2-166 b,0.0858,0.001,-0.0009,0.0,1.61,0.04,-0.04,0.0,5960.0,52.0,-53.0,0.0,hot
Kepler-750 b,0.091,,,0.0,1.02,0.3,-0.3,0.0,6243.0,200.0,-200.0,0.0,hot
Kepler-400 b,0.0869,,,0.0,1.146,0.633,-0.15,0.0,6099.0,146.0,-190.0,0.0,hot
Kepler-275 d,0.2178,,,0.0,1.33,0.225,-0.225,0.0,6157.0,123.0,-123.0,0.0,hot
Kepler-164 d,0.18695,0.00197,-0.00197,0.0,1.022,0.028,-0.028,0.0,5923.0,60.0,-60.0,0.0,hot
Kepler-1344 b,0.057,,,0.0,1.13,0.3,-0.3,0.0,5986.0,200.0,-200.0,0.0,hot
Kepler-1156 b,0.1025,,,0.0,0.945,0.382,-0.086,0.0,6061.0,145.0,-181.0,0.0,hot
Kepler-122 d,0.1533,,,0.0,0.949,0.327,-0.088,0.0,6103.0,143.0,-186.0,0.0,hot
KOI-351 f,0.484,,,0.0,1.054,0.408,-0.141,0.0,6238.0,195.0,-227.0,0.0,hot
Kepler-1433 b,0.0523,,,0.0,1.045,0.528,-0.094,0.0,6164.0,159.0,-201.0,0.0,hot
Kepler-885 b,0.1432,,,0.0,1.36,0.244,-0.199,0.0,6109.0,110.0,-134.0,0.0,hot
Kepler-1597 b,0.0427,,,0.0,1.173,0.56,-0.143,0.0,6484.0,155.0,-225.0,0.0,hot
Kepler-291 b,0.0469,,,0.0,0.986,0.302,-0.101,0.0,5993.0,190.0,-232.0,0.0,hot
CoRoT-35 b,0.0429,0.00092,-0.00092,0.0,1.65,0.1,-0.11,0.0,6390.0,130.0,-130.0,0.0,hot
K2-243 b,0.1087,0.0014,-0.0014,0.0,1.39,0.03,-0.03,0.0,6570.0,269.0,-171.0,0.0,hot
WASP-169 b,0.0681,0.0014,-0.0014,0.0,2.011,0.188,-0.089,0.0,6110.0,101.0,-101.0,0.0,hot
Kepler-918 b,0.0571,,,0.0,0.97,0.403,-0.091,0.0,6061.0,161.0,-208.0,0.0,hot
Kepler-1696 b,0.3245,,,0.0,0.96,0.345,-0.09,0.0,5982.0,161.0,-205.0,0.0,hot
TOI-3837 b,0.099,0.006,-0.005,0.0,1.2,0.06,-0.05,0.0,5905.0,157.0,-155.0,0.0,hot
Kepler-282 e,0.252,,,0.0,0.99,0.38,-0.38,0.0,6144.0,95.0,-95.0,0.0,hot
K2-63 b,0.1627,0.0097,-0.0097,0.0,1.63,0.48,-0.48,0.0,6771.0,303.0,-303.0,0.0,hot
Kepler-348 b,0.0778,,,0.0,1.402,0.267,-0.178,0.0,6388.0,115.0,-140.0,0.0,hot
Kepler-450 d,0.0825,,,0.0,1.57,0.085,-0.085,0.0,6215.0,89.0,-89.0,0.0,hot
TrES-4 b,0.0502,0.001,-0.001,0.0,1.834,0.087,-0.087,0.0,6200.0,75.0,-75.0,0.0,hot
Kepler-1297 b,0.0275,,,0.0,1.035,0.4,-0.126,0.0,6214.0,169.0,-197.0,0.0,hot
Kepler-372 c,0.154,,,0.0,1.137,0.488,-0.488,0.0,6509.0,200.0,-200.0,0.0,hot
Kepler-1346 b,0.044,,,0.0,0.906,0.373,-0.075,0.0,6177.0,165.0,-186.0,0.0,hot
Kepler-116 c,0.1153,,,0.0,1.173,0.768,-0.136,0.0,6484.0,166.0,-218.0,0.0,hot
NGTS-20 b,0.313,0.013,-0.013,0.0,1.78,0.05,-0.05,0.0,5980.0,80.0,-80.0,0.0,hot
HR 858 c,0.0687,0.00092,-0.00092,0.0,1.258,0.019,-0.019,0.0,6354.0,70.0,-70.0,0.0,hot
Kepler-1675 b,0.313,,,0.0,0.97,0.4,-0.4,0.0,6000.0,99.0,,0.0,hot
Kepler-394 b,0.083,,,0.0,1.132,0.58,-0.58,0.0,6402.0,200.0,-200.0,0.0,hot
Kepler-173 b,0.0476,,,0.0,0.935,0.373,-0.148,0.0,6032.0,176.0,-158.0,0.0,hot
Kepler-79 b,0.11929,0.00111,-0.00111,0.0,1.316,0.038,-0.037,0.0,6389.0,60.0,-60.0,0.0,hot
Kepler-1468 b,0.0805,,,0.0,0.976,0.404,-0.095,0.0,5973.0,161.0,-193.0,0.0,hot
K2-34 b,0.0442,0.002,-0.002,0.0,1.42,0.06,-0.05,0.0,6168.0,46.0,-76.0,0.0,hot
Kepler-136 c,0.134,,,0.0,1.21,0.11,-0.11,0.0,6158.0,58.0,-58.0,0.0,hot
TOI-1859 b,0.337,0.044,-0.036,0.0,1.36,0.1,-0.12,0.0,6341.0,68.0,-70.0,0.0,hot
Kepler-677 b,0.069,,,0.0,1.04,0.47,-0.47,0.0,6014.0,102.0,-102.0,0.0,hot
Kepler-132 b,0.0641,,,0.0,1.045,0.186,-0.116,0.0,5921.0,114.0,-117.0,0.0,hot
Kepler-1833 b,0.0771,,,0.0,1.446,0.248,-0.203,0.0,6164.0,110.0,-135.0,0.0,hot
WASP-38 b,0.07522,0.00074,-0.00075,0.0,1.331,0.03,,0.0,6150.0,80.0,,0.0,hot
Kepler-485 b,0.0443,,,0.0,1.029,0.465,-0.093,0.0,6109.0,162.0,-210.0,0.0,hot
HD 13908 b,0.154,0.0025,-0.0025,0.0,1.67,0.1,-0.1,0.0,6255.0,66.0,-66.0,0.0,hot
Kepler-529 d,0.2134,,,0.0,1.189,0.197,-0.178,0.0,6078.0,121.0,-133.0,0.0,hot
Kepler-1193 b,0.0397,,,0.0,1.047,0.456,-0.11,0.0,6072.0,141.0,-181.0,0.0,hot
Kepler-1714 b,0.1055,,,0.0,2.114,0.042,-0.042,0.0,6174.0,92.0,-92.0,0.0,hot
K2-290 b,0.0923,0.0066,-0.0066,0.0,1.511,0.075,-0.072,0.0,6302.0,120.0,-120.0,0.0,hot
